127.0.0.1 - - [20/May/2022:00:36:07 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [20/May/2022:00:36:07 +0900] "GET /Bootstrap/picture_boot5.html HTTP/1.1" 200 4287
0:0:0:0:0:0:0:1 - - [20/May/2022:00:36:07 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [20/May/2022:00:36:45 +0900] "GET /Bootstrap/navbar_boot5.html HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [20/May/2022:00:40:52 +0900] "GET /Bootstrap/board_boot5.html HTTP/1.1" 200 5309
0:0:0:0:0:0:0:1 - - [20/May/2022:00:41:45 +0900] "GET /Bootstrap/board_boot5.html HTTP/1.1" 200 5845
0:0:0:0:0:0:0:1 - - [20/May/2022:00:42:16 +0900] "GET /Bootstrap/board_boot5.html HTTP/1.1" 200 8266
0:0:0:0:0:0:0:1 - - [20/May/2022:00:42:42 +0900] "GET /Bootstrap/board_boot5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:00:45:53 +0900] "GET /Bootstrap/board_boot5.html HTTP/1.1" 200 5776
0:0:0:0:0:0:0:1 - - [20/May/2022:00:47:18 +0900] "GET /Bootstrap/board_boot5.html HTTP/1.1" 200 8714
0:0:0:0:0:0:0:1 - - [20/May/2022:00:47:25 +0900] "GET /Bootstrap/board_boot5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:00:49:00 +0900] "GET /Bootstrap/board_boot5.html HTTP/1.1" 200 8877
0:0:0:0:0:0:0:1 - - [20/May/2022:00:49:25 +0900] "GET /Bootstrap/board_boot5.html HTTP/1.1" 200 8721
0:0:0:0:0:0:0:1 - - [20/May/2022:00:51:03 +0900] "GET /Bootstrap/board2_boot5.html HTTP/1.1" 200 6195
0:0:0:0:0:0:0:1 - - [20/May/2022:00:51:36 +0900] "GET /Bootstrap/board2_boot5.html HTTP/1.1" 200 6187
