127.0.0.1 - - [02/May/2022:22:57:51 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [02/May/2022:22:57:52 +0900] "GET /HOME_TEST/login.jsp HTTP/1.1" 200 764
0:0:0:0:0:0:0:1 - - [02/May/2022:22:57:52 +0900] "GET /HOME_TEST/css/main.css HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [02/May/2022:22:57:52 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [02/May/2022:22:57:55 +0900] "GET /HOME_TEST/main.jsp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [02/May/2022:23:02:20 +0900] "GET /HOME_TEST/login.jsp HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [02/May/2022:23:10:02 +0900] "GET /HOME_TEST/login.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [02/May/2022:23:13:26 +0900] "GET /HOME_TEST/login.jsp HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [02/May/2022:23:13:30 +0900] "GET /HOME_TEST/login.jsp HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [02/May/2022:23:13:31 +0900] "GET /HOME_TEST/join.jsp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [02/May/2022:23:13:33 +0900] "GET /HOME_TEST/login.jsp HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [02/May/2022:23:13:33 +0900] "GET /HOME_TEST/login.jsp HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [02/May/2022:23:13:33 +0900] "GET /HOME_TEST/login.jsp HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [02/May/2022:23:13:33 +0900] "GET /HOME_TEST/login.jsp HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [02/May/2022:23:13:34 +0900] "GET /HOME_TEST/login.jsp HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [02/May/2022:23:13:34 +0900] "GET /HOME_TEST/login.jsp HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [02/May/2022:23:19:47 +0900] "GET /HOME_TEST/login.jsp HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [02/May/2022:23:19:51 +0900] "POST /HOME_TEST/loginAction.jsp HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [02/May/2022:23:20:14 +0900] "GET /HOME_TEST/join.jsp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [02/May/2022:23:21:37 +0900] "POST /HOME_TEST/loginAction.jsp HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [02/May/2022:23:21:43 +0900] "GET /HOME_TEST/bbs.jsp?boardID=2&pageNumber=1 HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [02/May/2022:23:21:45 +0900] "GET /HOME_TEST/join.jsp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [02/May/2022:23:34:23 +0900] "GET /HOME_TEST/login.jsp HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [02/May/2022:23:34:24 +0900] "POST /HOME_TEST/loginAction.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [02/May/2022:23:34:33 +0900] "POST /HOME_TEST/loginAction.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [02/May/2022:23:35:20 +0900] "POST /HOME_TEST/loginAction.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [02/May/2022:23:49:07 +0900] "GET /HOME_TEST/login.jsp HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [02/May/2022:23:49:08 +0900] "POST /HOME_TEST/loginAction.jsp HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [02/May/2022:23:49:16 +0900] "POST /HOME_TEST/loginAction.jsp HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [02/May/2022:23:54:10 +0900] "GET /HOME_TEST/login.jsp HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [02/May/2022:23:54:11 +0900] "POST /HOME_TEST/loginAction.jsp HTTP/1.1" 500 3171
