0:0:0:0:0:0:0:1 - - [16/May/2022:22:53:02 +0900] "GET /BootstrapApp/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2022:22:53:02 +0900] "GET /BootstrapApp/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2022:22:53:02 +0900] "GET /BootstrapApp/images/apple-touch-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2022:22:53:16 +0900] "GET /BootstrapApp/Test.html HTTP/1.1" 200 3874
0:0:0:0:0:0:0:1 - - [16/May/2022:22:53:21 +0900] "GET /BootstrapApp/Test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2022:22:54:37 +0900] "GET /BootstrapApp/Test.html HTTP/1.1" 200 3916
0:0:0:0:0:0:0:1 - - [16/May/2022:22:54:37 +0900] "GET /BootstrapApp/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2022:22:54:37 +0900] "GET /BootstrapApp/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2022:22:54:37 +0900] "GET /BootstrapApp/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2022:22:54:37 +0900] "GET /BootstrapApp/images/apple-touch-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2022:22:55:10 +0900] "GET /BootstrapApp/Test.html HTTP/1.1" 200 3908
0:0:0:0:0:0:0:1 - - [16/May/2022:22:55:29 +0900] "GET /BootstrapApp/Test.html HTTP/1.1" 200 3900
0:0:0:0:0:0:0:1 - - [16/May/2022:22:56:09 +0900] "GET /BootstrapApp/Test.html HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [16/May/2022:22:56:09 +0900] "GET /BootstrapApp/css/bootstrap.css HTTP/1.1" 304 -
